ITEM_ID,WinRate,NotWinRate
1026,46.80,53.2
1058,48.35,51.65
3027,53.91,46.09
3040,60.87,39.13
3089,66.38,33.62
3115,56.86,43.14
3116,58.17,41.83
3135,52.24,47.76
3136,52.94,47.06
3151,54.10,45.9
3152,56.25,43.75
3157,58.76,41.24
3165,52.59,47.41
3174,45.10,54.9
3285,53.96,46.04
